timestamp,zone,installed_capacity_mw,psr_type
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
2019-12-31 23:00:00+00:00,Belgium,2416.43,B19
2019-12-31 23:00:00+00:00,Belgium,18.5,B20
2019-12-31 23:00:00+00:00,Belgium,647.39,B01
2019-12-31 23:00:00+00:00,Belgium,6798.85,B04
2019-12-31 23:00:00+00:00,Belgium,246.28,B06
2019-12-31 23:00:00+00:00,Belgium,1308.0,B10
2019-12-31 23:00:00+00:00,Belgium,175.34,B11
2019-12-31 23:00:00+00:00,Belgium,5943.0,B14
2019-12-31 23:00:00+00:00,Belgium,3886.6,B16
2019-12-31 23:00:00+00:00,Belgium,362.14,B17
2019-12-31 23:00:00+00:00,Belgium,2254.4,B18
