datetime,zone,price_eur_mwh,resolution_minutes
2020-01-01 00:00:00+00:00,Belgium,41.88,60
2020-01-01 01:00:00+00:00,Belgium,38.6,60
2020-01-01 02:00:00+00:00,Belgium,36.55,60
2020-01-01 03:00:00+00:00,Belgium,32.32,60
2020-01-01 04:00:00+00:00,Belgium,30.85,60
2020-01-01 05:00:00+00:00,Belgium,30.14,60
2020-01-01 06:00:00+00:00,Belgium,30.17,60
2020-01-01 07:00:00+00:00,Belgium,30.0,60
2020-01-01 08:00:00+00:00,Belgium,30.65,60
2020-01-01 10:00:00+00:00,Belgium,30.27,60
2020-01-01 11:00:00+00:00,Belgium,30.34,60
2020-01-01 12:00:00+00:00,Belgium,30.99,60
2020-01-01 13:00:00+00:00,Belgium,30.04,60
2020-01-01 14:00:00+00:00,Belgium,30.75,60
2020-01-01 15:00:00+00:00,Belgium,32.11,60
2020-01-01 16:00:00+00:00,Belgium,35.98,60
2020-01-01 17:00:00+00:00,Belgium,40.4,60
2020-01-01 18:00:00+00:00,Belgium,44.05,60
2020-01-01 19:00:00+00:00,Belgium,49.15,60
2020-01-01 20:00:00+00:00,Belgium,44.58,60
2020-01-01 21:00:00+00:00,Belgium,40.68,60
2020-01-01 22:00:00+00:00,Belgium,41.06,60
2020-01-01 23:00:00+00:00,Belgium,38.56,60
2020-01-02 00:00:00+00:00,Belgium,35.4,60
2020-01-02 01:00:00+00:00,Belgium,31.98,60
2020-01-02 02:00:00+00:00,Belgium,30.5,60
2020-01-02 03:00:00+00:00,Belgium,28.79,60
2020-01-02 04:00:00+00:00,Belgium,28.42,60
2020-01-02 05:00:00+00:00,Belgium,28.75,60
2020-01-02 06:00:00+00:00,Belgium,34.16,60
2020-01-02 07:00:00+00:00,Belgium,42.07,60
2020-01-02 08:00:00+00:00,Belgium,44.89,60
2020-01-02 09:00:00+00:00,Belgium,45.26,60
2020-01-02 10:00:00+00:00,Belgium,45.57,60
2020-01-02 11:00:00+00:00,Belgium,45.09,60
2020-01-02 12:00:00+00:00,Belgium,45.16,60
2020-01-02 13:00:00+00:00,Belgium,44.9,60
2020-01-02 14:00:00+00:00,Belgium,44.06,60
2020-01-02 15:00:00+00:00,Belgium,44.0,60
2020-01-02 16:00:00+00:00,Belgium,44.38,60
2020-01-02 17:00:00+00:00,Belgium,46.05,60
2020-01-02 18:00:00+00:00,Belgium,46.72,60
2020-01-02 19:00:00+00:00,Belgium,45.04,60
2020-01-02 20:00:00+00:00,Belgium,35.97,60
2020-01-02 21:00:00+00:00,Belgium,34.37,60
2020-01-02 22:00:00+00:00,Belgium,32.58,60
2020-01-02 23:00:00+00:00,Belgium,31.77,60
2020-01-03 00:00:00+00:00,Belgium,32.05,60
2020-01-03 01:00:00+00:00,Belgium,30.75,60
2020-01-03 02:00:00+00:00,Belgium,29.03,60
2020-01-03 03:00:00+00:00,Belgium,24.96,60
2020-01-03 04:00:00+00:00,Belgium,22.56,60
2020-01-03 05:00:00+00:00,Belgium,26.16,60
2020-01-03 06:00:00+00:00,Belgium,31.21,60
2020-01-03 07:00:00+00:00,Belgium,36.73,60
2020-01-03 08:00:00+00:00,Belgium,40.7,60
2020-01-03 09:00:00+00:00,Belgium,45.95,60
2020-01-03 10:00:00+00:00,Belgium,47.67,60
2020-01-03 11:00:00+00:00,Belgium,45.97,60
2020-01-03 12:00:00+00:00,Belgium,43.56,60
2020-01-03 13:00:00+00:00,Belgium,39.35,60
2020-01-03 14:00:00+00:00,Belgium,39.04,60
2020-01-03 15:00:00+00:00,Belgium,38.4,60
2020-01-03 16:00:00+00:00,Belgium,38.91,60
2020-01-03 17:00:00+00:00,Belgium,45.76,60
2020-01-03 18:00:00+00:00,Belgium,47.77,60
2020-01-03 19:00:00+00:00,Belgium,45.75,60
2020-01-03 20:00:00+00:00,Belgium,44.66,60
2020-01-03 21:00:00+00:00,Belgium,33.0,60
2020-01-03 22:00:00+00:00,Belgium,38.72,60
2020-01-03 23:00:00+00:00,Belgium,37.74,60
2020-01-04 00:00:00+00:00,Belgium,33.12,60
2020-01-04 01:00:00+00:00,Belgium,30.49,60
2020-01-04 02:00:00+00:00,Belgium,30.14,60
2020-01-04 03:00:00+00:00,Belgium,27.75,60
2020-01-04 04:00:00+00:00,Belgium,26.32,60
2020-01-04 05:00:00+00:00,Belgium,25.95,60
2020-01-04 06:00:00+00:00,Belgium,25.84,60
2020-01-04 07:00:00+00:00,Belgium,27.28,60
2020-01-04 08:00:00+00:00,Belgium,30.0,60
2020-01-04 09:00:00+00:00,Belgium,36.41,60
2020-01-04 10:00:00+00:00,Belgium,39.5,60
2020-01-04 11:00:00+00:00,Belgium,40.26,60
2020-01-04 12:00:00+00:00,Belgium,35.0,60
2020-01-04 13:00:00+00:00,Belgium,32.07,60
2020-01-04 14:00:00+00:00,Belgium,36.8,60
2020-01-04 15:00:00+00:00,Belgium,38.94,60
2020-01-04 16:00:00+00:00,Belgium,36.85,60
2020-01-04 17:00:00+00:00,Belgium,49.16,60
2020-01-04 18:00:00+00:00,Belgium,51.66,60
2020-01-04 19:00:00+00:00,Belgium,47.01,60
2020-01-04 20:00:00+00:00,Belgium,42.85,60
2020-01-04 21:00:00+00:00,Belgium,34.46,60
2020-01-04 22:00:00+00:00,Belgium,39.75,60
2020-01-04 23:00:00+00:00,Belgium,37.95,60
2020-01-05 00:00:00+00:00,Belgium,33.1,60
2020-01-05 01:00:00+00:00,Belgium,32.28,60
2020-01-05 02:00:00+00:00,Belgium,31.18,60
2020-01-05 03:00:00+00:00,Belgium,30.1,60
2020-01-05 04:00:00+00:00,Belgium,29.96,60
2020-01-05 05:00:00+00:00,Belgium,29.88,60
2020-01-05 06:00:00+00:00,Belgium,30.38,60
2020-01-05 07:00:00+00:00,Belgium,31.15,60
2020-01-05 08:00:00+00:00,Belgium,32.09,60
2020-01-05 09:00:00+00:00,Belgium,34.27,60
2020-01-05 10:00:00+00:00,Belgium,37.53,60
2020-01-05 11:00:00+00:00,Belgium,38.99,60
2020-01-05 12:00:00+00:00,Belgium,38.15,60
2020-01-05 13:00:00+00:00,Belgium,35.37,60
2020-01-05 14:00:00+00:00,Belgium,34.44,60
2020-01-05 15:00:00+00:00,Belgium,36.1,60
